time,RPM,load
1786960822.9,2143.75,3.9215686274509802
1786960823.58,1727.5,3.5294117647058822
1786960824.01,1473.25,2.7450980392156863
1786960824.44,1279.0,2.3529411764705883
1786960824.86,1229.5,3.5294117647058822
1786960825.31,1478.0,5.098039215686274
1786960825.75,1566.5,3.1372549019607843
1786960826.17,1360.5,3.1372549019607843
1786960826.59,1444.5,4.313725490196078
1786960827.03,1664.0,4.705882352941177
1786960827.47,1806.25,4.705882352941177
1786960827.89,1933.25,5.098039215686274
1786960828.34,2012.25,4.313725490196078
1786960828.76,1905.0,3.5294117647058822
1786960829.19,1659.25,3.1372549019607843
1786960829.63,1412.25,2.7450980392156863
1786960830.05,1237.75,2.3529411764705883
1786960830.47,1098.75,1.9607843137254901
1786960830.91,1015.75,3.1372549019607843
1786960831.35,1293.0,3.9215686274509802
1786960831.77,1468.0,3.5294117647058822
1786960832.21,1503.25,3.1372549019607843
1786960832.64,1526.75,3.1372549019607843
1786960833.06,1537.5,3.5294117647058822
1786960833.48,1594.25,3.9215686274509802
1786960833.9,1681.5,3.9215686274509802
1786960834.33,1752.75,4.313725490196078
1786960834.76,1814.75,4.705882352941177
1786960835.21,1927.25,5.098039215686274
1786960835.64,2039.5,4.705882352941177
1786960836.08,1887.75,3.5294117647058822
1786960836.52,1634.75,3.1372549019607843
1786960836.97,1398.5,2.7450980392156863
1786960837.41,1236.5,2.3529411764705883
1786960837.83,1104.75,1.9607843137254901
1786960838.25,1159.25,4.313725490196078
1786960838.7,1601.0,7.0588235294117645
1786960839.14,2063.5,8.235294117647058
1786960839.56,2265.75,5.098039215686274
1786960840.0,2027.25,3.9215686274509802
1786960840.45,1781.75,3.1372549019607843
1786960840.89,1508.25,2.7450980392156863
1786960841.33,1275.75,2.3529411764705883
1786960841.77,1125.0,1.9607843137254901
1786960842.2,990.75,1.5686274509803921
1786960842.64,873.0,1.5686274509803921
1786960843.07,890.5,3.9215686274509802
1786960843.5,1419.0,4.705882352941177
1786960843.94,1560.75,3.1372549019607843
1786960844.37,1454.5,3.1372549019607843
1786960844.81,1462.25,2.7450980392156863
1786960845.25,1458.5,4.705882352941177
1786960845.67,1705.75,6.666666666666667
1786960846.1,2061.75,70.450980392156863
1786960846.53,2348.0,70.450980392156863
1786960846.97,2362.25,70.098039215686274
1786960847.42,2091.75,7.9215686274509802
1786960847.86,1840.0,3.5294117647058822
1786960848.3,1576.0,3.1372549019607843
1786960848.74,1340.0,2.3529411764705883
1786960849.19,1188.5,1.9607843137254901
1786960849.62,1051.0,1.9607843137254901
1786960850.05,918.5,1.5686274509803921
1786960850.49,812.75,2.7450980392156863
1786960850.91,1066.5,4.705882352941177
1786960851.35,1419.0,3.9215686274509802
1786960851.78,1539.5,3.5294117647058822
1786960852.2,1567.75,3.5294117647058822
1786960852.62,1597.75,3.5294117647058822
1786960853.04,1649.25,3.9215686274509802
1786960853.48,1689.5,3.9215686274509802
1786960853.9,1738.25,3.9215686274509802
1786960854.34,1771.0,3.9215686274509802
1786960854.78,1785.0,3.5294117647058822
1786960855.22,1731.25,3.1372549019607843
1786960855.66,1626.75,3.1372549019607843
1786960856.11,1384.75,2.3529411764705883
1786960856.55,1220.75,2.3529411764705883
1786960856.99,1079.5,1.9607843137254901
1786960857.42,954.5,1.5686274509803921
1786960857.84,837.75,1.5686274509803921
1786960858.28,759.75,1.5686274509803921
1786960858.73,731.25,1.5686274509803921
1786960859.16,736.75,1.9607843137254901
1786960859.6,739.25,1.9607843137254901
1786960860.03,736.5,1.5686274509803921
1786960860.46,751.75,1.9607843137254901
1786960860.89,747.25,1.9607843137254901
1786960861.33,748.25,1.9607843137254901
1786960861.76,748.5,1.9607843137254901
1786960862.2,744.5,1.9607843137254901
1786960862.64,745.5,1.9607843137254901
1786960863.06,754.0,1.9607843137254901
1786960863.51,752.75,1.9607843137254901
1786960863.95,751.5,1.9607843137254901
1786960864.39,744.25,1.9607843137254901
1786960864.83,747.0,1.9607843137254901
1786960865.25,747.0,1.9607843137254901
1786960865.68,744.75,1.9607843137254901
1786960866.1,748.75,1.9607843137254901
